student,sample,conc,valid,amp,r2,sd,invert_check,mean_conc_dupl,,
0_00_00,BE18qkd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18smc,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18smc,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18vcz,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18vcz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18vkn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18vkn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18wbb,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18wbb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18wpf,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18wpf,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18wqn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18wqn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18xgn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18xgn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18xii,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18xii,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,BE18ygv,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,BE18ygv,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17bht,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17bht,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17cco,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17cco,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17itg,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17itg,0,TRUE,NA,NA,NA,,0.000,,
2_03_09,UR17itg,0,FALSE,21.63,0.533,0,,0.000,,
2_03_09,UR17itg,0,FALSE,21.63,0.533,0,,0.000,,
1_11_08,UR17itg,0,TRUE,22.21,0.978,0,,0.000,,
1_11_08,UR17itg,0,TRUE,22.21,0.978,0,,0.000,,
1_11_10,UR17itg,0,FALSE,23.37,1,0,,0.000,,
1_11_10,UR17itg,0,FALSE,23.37,1,0,,0.000,,
3_11_06,UR17itg,0,TRUE,20.24,0.998,0,,0.000,,
3_11_06,UR17itg,0,TRUE,20.24,0.998,0,,0.000,,
4_12_02,UR17itg,0,TRUE,21.36,0.989,0,,0.000,,
4_12_02,UR17itg,0,TRUE,21.36,0.989,0,,0.000,,
0_00_00,UR17jns,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17jns,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17kzg,0,TRUE,NA,NA,NA,,0.085,,
0_00_00,UR17kzg,0.17,TRUE,NA,NA,NA,,0.085,,
0_00_00,UR17ler,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17ler,0,TRUE,NA,NA,NA,,0.000,,
1_01_01,UR17ler,0,TRUE,21.73,0.999,0,,0.000,,
1_01_01,UR17ler,0,TRUE,21.73,0.999,0,,0.000,,
3_11_10,UR17ler,0,TRUE,21.86,0.988,0,,0.000,,
3_11_10,UR17ler,0,TRUE,21.86,0.988,0,,0.000,,
4_03_10,UR17ler,236.6147383,TRUE,20.72,1,0,,118.307,,
4_03_10,UR17ler,0,TRUE,20.72,1,0,,118.307,,
0_00_00,UR17mae,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17mae,0,TRUE,NA,NA,NA,,0.000,,
3_10_05,UR17mae,0,FALSE,24.48,0.999,0,,0.000,,
3_10_05,UR17mae,0,FALSE,24.48,0.999,0,,0.000,,
4_03_08,UR17mae,0,TRUE,22.17,0.992,0,,0.000,,
4_03_08,UR17mae,0,TRUE,22.17,0.992,0,,0.000,,
0_00_00,UR17ogm,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17ogm,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17pgw,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17pgw,0,TRUE,NA,NA,NA,,0.000,,
3_10_06,UR17pgw,0,TRUE,20.86,0.997,0,,0.000,,
3_10_06,UR17pgw,0,TRUE,20.86,0.997,0,,0.000,,
4_03_07,UR17pgw,0,TRUE,19.98,0.998,0,,0.000,,
4_03_07,UR17pgw,0,TRUE,19.98,0.998,0,,0.000,,
0_00_00,UR17psm,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17psm,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17pxq,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17pxq,0,TRUE,NA,NA,NA,,0.000,,
2_03_07,UR17pxq,0,TRUE,21.73,0.997,0,,0.000,,
2_03_07,UR17pxq,0,TRUE,21.73,0.997,0,,0.000,,
1_11_01,UR17pxq,0,TRUE,21.15,0.995,0,,0.000,,
1_11_01,UR17pxq,0,TRUE,21.15,0.995,0,,0.000,,
3_10_08,UR17pxq,0,FALSE,24.92,0.916,0,,0.000,,
3_10_08,UR17pxq,0,FALSE,24.92,0.916,0,,0.000,,
4_03_02,UR17pxq,0,FALSE,NA,0.033,0,Standard was inverted!,0.000,,
4_03_02,UR17pxq,0,FALSE,NA,0.033,0,Standard was inverted!,0.000,,
0_00_00,UR17qyz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17qyz,0,TRUE,NA,NA,NA,,0.000,,
2_06_01,UR17qyz,NA,FALSE,NA,0,0,,NA,,
2_06_01,UR17qyz,NA,FALSE,NA,0,0,,NA,,
3_09_01,UR17qyz,0,TRUE,20.49,0.988,0,,0.000,,
3_09_01,UR17qyz,0,TRUE,20.49,0.988,0,,0.000,,
4_01_05,UR17qyz,0,TRUE,20.1,0.997,0,,0.000,,
4_01_05,UR17qyz,0,TRUE,20.1,0.997,0,,0.000,,
0_00_00,UR17rju,0,TRUE,NA,NA,NA,,0.150,,
0_00_00,UR17rju,0.3,TRUE,NA,NA,NA,,0.150,,
0_00_00,UR17rmp,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17rmp,0,TRUE,NA,NA,NA,,0.000,,
2_10_08,UR17rmp,0,TRUE,21.17,0.999,0,,0.000,,
2_10_08,UR17rmp,0,TRUE,21.17,0.999,0,,0.000,,
1_09_01,UR17rmp,0,FALSE,22.98,0.936,0,,0.000,,
1_09_01,UR17rmp,0,FALSE,22.98,0.936,0,,0.000,,
0_00_00,UR17ryk,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17ryk,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17tmb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17tmb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17tsp,0.2,TRUE,NA,NA,NA,,0.098,,
0_00_00,UR17tsp,0,TRUE,NA,NA,NA,,0.098,,
2_10_07,UR17tsp,0,FALSE,19.49,0.927,0,,0.000,,
2_10_07,UR17tsp,0,FALSE,19.49,0.927,0,,0.000,,
1_09_03,UR17tsp,0,TRUE,22.16,0.983,0,,0.000,,
1_09_03,UR17tsp,0,TRUE,22.16,0.983,0,,0.000,,
3_06_09,UR17tsp,0,FALSE,19.76,0.947,0,,0.000,,
3_06_09,UR17tsp,0,FALSE,19.76,0.947,0,,0.000,,
4_zz_zz,UR17tsp,0,TRUE,24.85,0.987,0,,0.000,,
4_zz_zz,UR17tsp,0,TRUE,24.85,0.987,0,,0.000,,
4_ww_ww,UR17tsp,5.037770198,FALSE,20.61,0.989,2,,3.040,,
4_ww_ww,UR17tsp,1.04289552,FALSE,20.61,0.989,2,,3.040,,
0_00_00,UR17uqs,0,TRUE,NA,NA,NA,,0.152,,
0_00_00,UR17uqs,0.3,TRUE,NA,NA,NA,,0.152,,
1_04_04,UR17uqs,0,FALSE,20.32,0.875,0,,0.000,,
1_04_04,UR17uqs,0,FALSE,20.32,0.875,0,,0.000,,
2_04_03,UR17uqs,0,TRUE,21.42,0.999,0,,0.000,,
2_04_03,UR17uqs,0,TRUE,21.42,0.999,0,,0.000,,
0_00_00,UR17uuv,0.27,TRUE,NA,NA,NA,,0.137,,
0_00_00,UR17uuv,0,TRUE,NA,NA,NA,,0.137,,
1_03_08,UR17uuv,0,TRUE,21.24,0.998,0,,0.000,,
1_03_08,UR17uuv,0,TRUE,21.24,0.998,0,,0.000,,
3_02_06,UR17uuv,0,TRUE,20.83,0.995,0,,0.000,,
3_02_06,UR17uuv,0,TRUE,20.83,0.995,0,,0.000,,
4_02_08,UR17uuv,0,TRUE,21.48,0.998,0,,0.000,,
4_02_08,UR17uuv,0,TRUE,21.48,0.998,0,,0.000,,
0_00_00,UR17voi,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17voi,0,TRUE,NA,NA,NA,,0.000,,
2_06_RD,UR17voi,0.260000135,FALSE,21.2,0.995,0.27,Standard was inverted!,0.301,,
2_06_RD,UR17voi,0.342232643,FALSE,21.2,0.995,0.27,Standard was inverted!,0.301,,
1_12_03,UR17voi,0,TRUE,21.41,0.989,0,Standard was inverted!,0.000,,
1_12_03,UR17voi,0,TRUE,21.41,0.989,0,Standard was inverted!,0.000,,
3_02_08,UR17voi,0,TRUE,22.02,1,0,,0.000,,
3_02_08,UR17voi,0,TRUE,22.02,1,0,,0.000,,
3_02_01,UR17voi,0,FALSE,30.73,0.721,0,,0.000,,
3_02_01,UR17voi,0,FALSE,30.73,0.721,0,,0.000,,
4_04_05,UR17voi,0,TRUE,20.94,0.994,0,,0.000,,
4_04_05,UR17voi,0,TRUE,20.94,0.994,0,,0.000,,
0_00_00,UR17vom,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17vom,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17vqh,0,TRUE,NA,NA,NA,,0.069,,
0_00_00,UR17vqh,0.14,TRUE,NA,NA,NA,,0.069,,
0_00_00,UR17vxr,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17vxr,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17wic,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17wic,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17wxz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17wxz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xkg,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xkg,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xux,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xux,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xux,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17xux,0,TRUE,NA,NA,NA,,0.000,,
2_09_05,UR17xux,0,TRUE,22.66,0.997,0,,0.000,,
2_09_05,UR17xux,0,TRUE,22.66,0.997,0,,0.000,,
3_02_04,UR17xux,0,TRUE,23.63,0.99,0,,0.000,,
3_02_04,UR17xux,0,TRUE,23.63,0.99,0,,0.000,,
4_10_02,UR17xux,0,TRUE,23.75,0.964,0,Standard was inverted!,0.000,,
4_10_02,UR17xux,0,TRUE,23.75,0.964,0,Standard was inverted!,0.000,,
2_11_07,UR17xxx,0,TRUE,20.9,0.998,0,,0.000,,
2_11_07,UR17xxx,0,TRUE,20.9,0.998,0,,0.000,,
0_00_00,UR17yvv,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17yvv,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17yvv,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17yvv,0,TRUE,NA,NA,NA,,0.000,,
2_10_03,UR17yvv,0,TRUE,23.16,0.999,0,,0.000,,
2_10_03,UR17yvv,0,TRUE,23.16,0.999,0,,0.000,,
3_06_01,UR17yvv,0,TRUE,21.41,0.985,0,,0.000,,
3_06_01,UR17yvv,0,TRUE,21.41,0.985,0,,0.000,,
0_00_00,UR17zgd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zgd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zgd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zgd,0,TRUE,NA,NA,NA,,0.000,,
1_07_10,UR17zgd,0,TRUE,21.24,0.971,0,,0.000,,
1_07_10,UR17zgd,0,TRUE,21.24,0.971,0,,0.000,,
3_06_02,UR17zgd,0,TRUE,21.97,0.994,0,,0.000,,
3_06_02,UR17zgd,0,TRUE,21.97,0.994,0,,0.000,,
3_06_06,UR17zgd,0,FALSE,NA,0.862,0,,0.000,,
3_06_06,UR17zgd,0,FALSE,NA,0.862,0,,0.000,,
4_03_04,UR17zgd,0,TRUE,21.37,0.998,0,,0.000,,
4_03_04,UR17zgd,0,TRUE,21.37,0.998,0,,0.000,,
0_00_00,UR17zjq,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zjq,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zjq,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR17zjq,0,TRUE,NA,NA,NA,,0.000,,
1_10_10,UR17zjq,0,TRUE,21.77,0.997,0,,0.000,,
1_10_10,UR17zjq,0,TRUE,21.77,0.997,0,,0.000,,
3_06_10,UR17zjq,0,TRUE,21,0.996,0,,0.000,,
3_06_10,UR17zjq,0,TRUE,21,0.996,0,,0.000,,
4_02_05,UR17zjq,0,TRUE,21.82,1,0,,0.345,,
4_02_05,UR17zjq,0.689319911,TRUE,21.82,1,0,,0.345,,
0_00_00,UR18bck,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18bck,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18bky,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18bky,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18bms,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18bms,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18bua,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18bua,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18cuz,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18cuz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18dbc,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18dbc,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18fnl,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18fnl,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18gkb,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18gkb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18grf,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18grf,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18hkv,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18hkv,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18ikc,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18ikc,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18isq,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18isq,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18jcd,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18jcd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18jhx,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18jhx,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18jtb,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18jtb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18knj,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18knj,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18mbs,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18mbs,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18qkd,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18qkd,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18smc,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18smc,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18vcz,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18vcz,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18vkn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18vkn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18wbb,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18wbb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18wpf,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18wpf,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18wqn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18wqn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18xgn,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18xgn,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18xii,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18xii,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,UR18ygv,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,UR18ygv,0,TRUE,NA,NA,NA,,0,,
2_07_06,XX17xxx,0,TRUE,20.79,0.988,0,,0,,
2_07_06,XX17xxx,0,TRUE,20.79,0.988,0,,0,,
