target,reporter,quencher
CMV,FAM,TAMRA
EBV,FAM,TAMRA
BK,FAM,TAMRA
GAPDH,VIC,TAMRA
Lambda,FAM,TAMRA
HHV-6,FAM,NFQ-MGB
VZV,FAM,TAMRA
HSV-1,FAM,NFQ-MGB
HSV-2,FAM,TAMRA
Parvo,FAM,TAMRA
Adeno,FAM,TAMRA
JC,FAM,NFQ-MGB
