MC,TP
H24IBQ,0
H24OHT,24
H24THT,0
H24OST,20
H24PST,0
H24IST,0
H25OST,15.2
H25PST,0
H25OR,23
H25RST,0
H26OET,23
H26BET,0
H26OT,23
H26OST,0
H27OST,17.4
H27VST,0
M01OOS,42
V01OOS,42
V01OSL,29
M01OSL,32
H27HLN,180
H27OU,66
H27OU1,0
H27OU2,0
H27OU3,0
H27OU4,0
H27OU5,0
H27OU6,0
H03RSO,33
E12POT,29
E12ROT,33
E12OOT,29
H06OBD,47
H14DK,180
H27HLO,0
H27HLP,0
H27HLQ,0
C05FK,180
D01FK,180
D01PSO,42
D01PS,0
D01PSI,0
D01RSO,33
D01RS,0
D01RSI,0
Z01FK,180
Z01PSO,42
Z01PS,0
Z01PSI,0
Z01RSO,33
Z01RS,0
Z01RSI,0
A00AAA,74
D01OR,42
D01RR,33
I08FKP,180
I04FKP,180
R01FKP,180
D01BQO,42
F01OSE,29
X01FKS,697
F01OSO,29
F01RSO,33
H07GKP,180
F01RSE,33
H27GOA,180
A01DPU,195
R09FPU,180
I08FPU,180
I04FPU,180
P02FPU,180
R02FPU,180
X02FPU,0
C03FPU,0
C20FPU,0
C04FPU,0
C05FPU,0
C21FPU,0
B01DPU,0
M03FPU,0
I09FPU,180
I07FPU,180
I10FPU,180
P03FPU,0
P04FPU,0
P05FPU,0
R03FPU,180
B02DPU,0
C22DPU,0
L01DPU,0
M06DPU,0
A01DKN,195
N01FKN,180
A02FKN,0
S01FKN,0
R07FKN,180
N01FKP,180
P14EK0,180
D01BQI,0
F01FK,180
C01OS,42
C01OSO,42
C01RS,33
C01RSO,33
W01OS,42
W01OSO,42
W01RS,33
W01RSO,33
C01FK,180
I10FK,180
C21FK,180
C31FK,180
STUAQP,0
STUAQZ,0
